Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1197.65
523395,3M INDIA LTD.,INE470A01017,28587.9
500002,ABB INDIA LIMITED,INE117A01022,6069.6
500488,ABBOTT INDIA LTD.,INE358A01014,35008.75
500410,ACC LTD.,INE012A01025,1921.5
539254,Adani Energy Solutions Limited,INE931S01010,883.55
512599,ADANI ENTERPRISES LTD.,INE423A01024,2648.35
541450,Adani Green Energy Limited,INE364U01010,1015.75
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1440.1
533096,ADANI POWER LTD.,INE814H01011,584.25
542066,ADANI TOTAL GAS LIMITED,INE399L01023,682.2
540691,Aditya Birla Capital Ltd,INE674K01013,269.35
535755,Aditya Birla Fashion and Retai,INE647O01011,74.76
532683,AIA ENGINEERING LTD.,INE212H01026,3333.2
532331,AJANTA PHARMA LTD.,INE031B01049,2524.95
539523,Alkem Laboratories Limited,INE540L01014,4907.3
500425,AMBUJA CEMENTS LTD.,INE079A01024,575.2
533758,APL APOLLO TUBES LTD.,INE702C01027,1754.55
508869,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,7305.95
500877,APOLLO TYRES LTD.,INE438A01022,447.1
500477,ASHOK LEYLAND LTD.,INE208A01029,249.6
500820,ASIAN PAINTS LTD.,INE021A01026,2359.25
532830,ASTRAL LIMITED,INE006I01046,1502
540611,AU Small Finance Bank Limited,INE949L01017,809.95
524804,AUROBINDO PHARMA LTD.,INE406A01037,1122.9
540376,Avenue Supermarts Limited,INE192R01011,4310.95
543458,AWL AGRI BUSINESS LIMITED,INE699H01024,259.15
532215,AXIS BANK LTD.,INE238A01034,1225.2
532977,BAJAJ AUTO LTD.,INE917I01010,8442.4
500034,BAJAJ FINANCE LIMITED,INE296A01032,946.55
532978,BAJAJ FINSERV LTD.,INE918I01026,2042.9
500490,BAJAJ HOLDINGS & INVESTMENT LT,INE118A01012,14149.4
544252,Bajaj Housing Finance Limited,INE377Y01014,122.05
502355,BALKRISHNA INDUSTRIES LTD.,INE787D01026,2463.75
541153,Bandhan Bank Limited,INE545U01014,185.55
