Scrip Code,COMPANY,ISIN No.,Close Price
544176,Aadhar Housing Finance Limited,INE883F01010,443.85
524208,AARTI INDUSTRIES LTD.,INE769A01020,479.35
541988,AAVAS Financiers Limited,INE216P01012,1991.9
532762,ACTION CONSTRUCTION EQUIPMENT,INE731H01025,1212.05
500040,ADITYA BIRLA REAL ESTATE LIMIT,INE055A01016,2399.15
543374,Aditya Birla Sun Life AMC Limi,INE404A01024,764.9
500003,AEGIS LOGISTICS LTD.,INE208C01025,782.55
543534,Aether Industries Limited,INE0BWX01014,764.8
544280,Afcons Infrastructure Limited,INE101I01011,442.55
542752,AFFLE 3I LIMITED,INE00WC01027,1981.95
500710,AKZO NOBEL INDIA LIMITED,INE133A01011,3414.75
533573,ALEMBIC PHARMACEUTICALS LTD.,INE901L01018,971.85
506767,ALKYL AMINES CHEMICALS LTD.,INE150B01039,2259.4
521070,ALOK INDUSTRIES LTD.,INE270A01029,20.49
500008,Amara Raja Energy & Mobility L,INE885A01032,962.75
540902,Amber Enterprises India Limite,INE371P01015,6845.05
543415,Anand Rathi Wealth Limited,INE463V01026,2073
515055,ANANT RAJ LIMITED,INE242C01024,554
543235,ANGEL ONE LIMITED,INE732I01013,2910.6
543275,Anupam Rasayan India Limited,INE930P01018,1132.65
532259,APAR INDUSTRIES LTD.,INE372A01015,8435.95
543335,Aptus Value Housing Finance In,INE852O01025,318.6
515030,ASAHI INDIA GLASS LTD.,INE439A01020,733.85
540975,Aster DM Healthcare Limited,INE914M01019,588.1
506820,ASTRAZENECA PHARMA INDIA LTD.,INE203A01020,8896.3
500027,ATUL LTD.,INE100A01010,7402.1
539177,Authum Investment & Infrastruc,INE206F01022,2625.35
500038,BALRAMPUR CHINI MILLS LTD.,INE119A01028,590.4
500042,BASF INDIA LTD.,INE373A01013,5106.25
500043,BATA INDIA LTD.,INE176A01028,1231.85
506285,BAYER CROPSCIENCE LTD.,INE462A01022,6112.2
500048,BEML LTD.,INE258A01016,4428.35
543653,Bikaji Foods International Lim,INE00E101023,754.35
500335,BIRLA CORPORATION LTD.,INE340A01012,1336.45
532400,BIRLASOFT LIMITED,INE836A01035,432.35
540073,BLS International Services Ltd,INE153T01027,379.4
526612,BLUE DART EXPRESS LTD.,INE233B01017,6367.6
501425,BOMBAY BURMAH TRADING CORP.LTD,INE050A01025,1975.1
544226,Brainbees Solutions Limited,INE02RE01045,391.05
532929,BRIGADE ENTERPRISES LTD.,INE791I01019,1110.25
543425,C.E. Info Systems Limited,INE0BV301023,1740.2
543523,Campus Activewear Limited,INE278Y01022,281.2
511196,CAN FIN HOMES LTD.,INE477A01020,791.35
524742,CAPLIN POINT LABORATORIES LTD.,INE475E01026,2084.6
531595,CAPRI GLOBAL CAPITAL LIMITED,INE180C01042,170.1
513375,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,956.7
500870,CASTROL INDIA LTD.,INE172A01027,217.05
519600,CCL PRODUCTS (INDIA) LTD.,INE421D01022,849.35
500878,CEAT LTD.,INE482A01020,3644.25
544012,Cello World Limited,INE0LMW01024,601.7
532548,CENTURY PLYBOARDS (I) LTD.,INE348B01021,783.8
532443,CERA SANITARYWARE LTD.,INE739E01017,6821.7
500084,CESC LTD.,INE486A01021,172.3
542399,Chalet Hotels Limited,INE427F01016,916.5
500085,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,560.15
500110,CHENNAI PETROLEUM CORPORATION,INE178A01016,683.15
504973,CHOLAMANDALAM FINANCIAL HOLDIN,INE149A01033,2066.35
532756,CIE Automotive India Limited,INE536H01010,447.15
532210,CITY UNION BANK LTD.,INE491A01021,205.85
543318,Clean Science and Technology L,INE227W01023,1463.6
543064,Cohance Lifesciences Limited,INE03QK01018,944.05
543232,Computer Age Management Servic,INE596I01012,4292.05
543960,Concord Biotech Limited,INE338H01029,1825.15
543276,Craftsman Automation Limited,INE00LO01017,5490.3
541770,CreditAccess Grameen Ltd.,INE741K01010,1218.95
539876,Crompton Greaves Consumer Elec,INE299U01018,357.65
532175,CYIENT LIMITED,INE136B01020,1304.4
543428,Data Patterns (India) Limited,INE0IX101010,2825
523367,DCM SHRIRAM LIMITED,INE499A01024,1184.75
500645,DEEPAK FERTILISERS & PETROCHEM,INE501A01019,1594.95
543529,Delhivery Limited,INE148O01028,382.8
543330,Devyani International Limited,INE872J01023,171.3
544045,DOMS Industries Limited,INE321T01012,2487
539524,Dr. Lal Pathlabs Limited,INE600L01024,2771.25
500125,E.I.D.-PARRY (INDIA) LTD.,INE126A01031,1059.8
532927,ECLERX SERVICES LTD.,INE738I01010,3506.7
500840,EIH LTD.,INE230A01023,358.85
522074,ELGI EQUIPMENTS LTD.,INE285A01027,536.8
544210,Emcure Pharmaceuticals Limited,INE168P01015,1299.25
532178,ENGINEERS INDIA LTD.,INE510A01028,238.05
540596,Eris Lifesciences Limited,INE406M01024,1679.6
500133,ESAB INDIA LTD.,INE284A01012,5129.05
541557,Fine Organic Industries Limite,INE686Y01026,4797.85
500144,FINOLEX CABLES LTD.,INE235A01022,960.2
500940,FINOLEX INDUSTRIES LTD.,INE183A01024,216.8
532809,FIRSTSOURCE SOLUTIONS LTD.,INE684F01012,382.55
543663,Five-Star Business Finance Ltd,INE128S01021,760.7
543317,G R Infraprojects Limited,INE201P01022,1334.9
540935,Galaxy Surfactants Limited,INE600K01018,2589.25
542011,Garden Reach Shipbuilders & En,INE382Z01011,3032.05
509557,GARWARE TECHNICAL FIBRES LIMIT,INE276A01018,905.75
507815,GILLETTE INDIA LTD.,INE322A01010,10772.2
544179,Go Digit General Insurance Lim,INE03JT01014,360.9
500163,GODFREY PHILLIPS INDIA LTD.,INE260B01028,9050.05
540743,Godrej Agrovet Limited,INE850D01014,784.8
532482,GRANULES INDIA LTD.,INE101D01020,497.3
509488,GRAPHITE INDIA LTD.,INE371A01025,569.35
500620,GREAT EASTERN SHIPPING CO.LTD.,INE017A01032,973.8
506076,GRINDWELL NORTON LTD.,INE536A01023,1687.4
532181,GUJARAT MINERAL DEVELOPMENT CO,INE131A01031,411.85
500670,GUJARAT NARMADA VALLEY FERTILI,INE113A01013,546.25
500690,GUJARAT STATE FERTILIZERS & CH,INE026A01025,202.85
532702,GUJARAT STATE PETRONET LTD.,INE246F01010,331.1
543227,Happiest Minds Technologies Li,INE419U01012,650.7
531531,HATSUN AGRO PRODUCT LTD.,INE473B01035,943.55
517271,HBL ENGINEERING LIMITED,INE292B01021,590.8
509631,HEG LTD.,INE545A01024,510.6
500183,HFCL LIMITED,INE548A01028,86.94
500184,Himadri Speciality Chemical Lt,INE019C01026,504.95
513599,HINDUSTAN COPPER LTD.,INE531E01026,276.1
543259,Home First Finance Company Ind,INE481N01025,1470.25
544014,Honasa Consumer Limited,INE0J5401028,310.35
500106,IFCI LTD.,INE039A01010,64.54
532636,IIFL FINANCE LIMITED,INE530B01024,470.85
530005,INDIA CEMENTS LTD.,INE383A01012,341.3
542726,IndiaMART InterMESH Limited,INE933S01016,2609.05
540750,Indian Energy Exchange Limited,INE022Q01020,189.25
500210,INGERSOLL-RAND (INDIA) LTD.,INE177A01018,3797.2
539083,Inox Wind Limited,INE066P01011,175.8
538835,INTELLECT DESIGN ARENA LIMITED,INE306R01017,1146.4
544311,International Gemmological Ins,INE0Q9301021,372.45
544309,INVENTURUS KNOWLEDGE SOLUTIONS,INE115Q01022,1615.9
541956,IRCON International Ltd,INE962Y01021,204.3
523610,ITI LTD.,INE248A01017,320.4
506943,J.B.CHEMICALS & PHARMACEUTICAL,INE572A01036,1799.35
532209,JAMMU & KASHMIR BANK LTD.,INE168A01041,111.55
532605,JBM AUTO LTD.,INE927D01051,642.5
500378,JINDAL SAW LTD.,INE324A01032,244.05
500380,JK LAKSHMI CEMENT LTD.,INE786A01032,886.3
523405,JM FINANCIAL LTD.,INE780C01023,159.35
532642,JSW HOLDINGS LIMITED,INE824G01012,22094.5
543271,Jubilant Ingrevia Limited,INE0BY001018,749.75
530019,JUBILANT PHARMOVA LIMITED,INE700A01033,1173.7
533272,JUPITER WAGONS LIMITED,INE209L01016,386.8
535648,JUST DIAL LTD.,INE599M01018,914.15
532926,JYOTHY LABS LIMITED,INE668F01031,340
544081,Jyoti CNC Automation Limited,INE980O01024,1124.4
500233,KAJARIA CERAMICS LTD.,INE217B01036,1086.05
522287,KALPATARU PROJECTS INTERNATION,INE220B01022,1225.4
532468,KAMA HOLDINGS LIMITED,INE411F01010,2903.1
500165,KANSAI NEROLAC PAINTS LTD.,INE531A01024,248.3
532714,KEC INTERNATIONAL LTD.,INE389H01022,906.25
543720,KFin Technologies Limited,INE138Y01010,1345.55
540680,KIOCL Limited,INE880L01014,299.85
500241,KIRLOSKAR BROTHERS LTD.,INE732A01036,2329.5
533293,KIRLOSKAR OIL ENGINES LTD.,INE146L01010,861.85
532942,KNR CONSTRUCTIONS LTD.,INE634I01029,223.8
543308,Krishna Institute of Medical S,INE967H01025,663.8
543398,Latent View Analytics Limited,INE0I7C01011,410.8
