Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1197.65
523395,3M INDIA LTD.,INE470A01017,28587.9
544176,Aadhar Housing Finance Limited,INE883F01010,443.85
524208,AARTI INDUSTRIES LTD.,INE769A01020,479.35
541988,AAVAS Financiers Limited,INE216P01012,1991.9
500488,ABBOTT INDIA LTD.,INE358A01014,35008.75
500410,ACC LTD.,INE012A01025,1921.5
532762,ACTION CONSTRUCTION EQUIPMENT,INE731H01025,1212.05
542066,ADANI TOTAL GAS LIMITED,INE399L01023,682.2
540691,Aditya Birla Capital Ltd,INE674K01013,269.35
535755,Aditya Birla Fashion and Retai,INE647O01011,74.76
500040,ADITYA BIRLA REAL ESTATE LIMIT,INE055A01016,2399.15
543374,Aditya Birla Sun Life AMC Limi,INE404A01024,764.9
500003,AEGIS LOGISTICS LTD.,INE208C01025,782.55
543534,Aether Industries Limited,INE0BWX01014,764.8
544280,Afcons Infrastructure Limited,INE101I01011,442.55
542752,AFFLE 3I LIMITED,INE00WC01027,1981.95
532683,AIA ENGINEERING LTD.,INE212H01026,3333.2
532331,AJANTA PHARMA LTD.,INE031B01049,2524.95
500710,AKZO NOBEL INDIA LIMITED,INE133A01011,3414.75
533573,ALEMBIC PHARMACEUTICALS LTD.,INE901L01018,971.85
539523,Alkem Laboratories Limited,INE540L01014,4907.3
506767,ALKYL AMINES CHEMICALS LTD.,INE150B01039,2259.4
521070,ALOK INDUSTRIES LTD.,INE270A01029,20.49
500008,Amara Raja Energy & Mobility L,INE885A01032,962.75
540902,Amber Enterprises India Limite,INE371P01015,6845.05
543415,Anand Rathi Wealth Limited,INE463V01026,2073
515055,ANANT RAJ LIMITED,INE242C01024,554
543235,ANGEL ONE LIMITED,INE732I01013,2910.6
543275,Anupam Rasayan India Limited,INE930P01018,1132.65
532259,APAR INDUSTRIES LTD.,INE372A01015,8435.95
533758,APL APOLLO TUBES LTD.,INE702C01027,1754.55
500877,APOLLO TYRES LTD.,INE438A01022,447.1
543335,Aptus Value Housing Finance In,INE852O01025,318.6
515030,ASAHI INDIA GLASS LTD.,INE439A01020,733.85
