Scrip Code,COMPANY,ISIN No.,Close Price
532215,AXIS BANK LTD.,INE238A01034,1225.2
532134,BANK OF BARODA,INE028A01039,241.35
500049,BHARAT ELECTRONICS LTD.,INE263A01024,414.95
500547,BHARAT PETROLEUM CORPORATION L,INE029A01011,333.05
533278,COAL INDIA LTD.,INE522F01014,394.8
532178,ENGINEERS INDIA LTD.,INE510A01028,238.05
532155,GAIL (INDIA) LTD.,INE129A01019,190.95
532814,INDIAN BANK,INE562A01011,626.6
530965,INDIAN OIL CORPORATION LTD.,INE242A01010,147.15
500875,ITC LTD.,INE154A01025,418.95
500510,LARSEN & TOUBRO LTD.,INE018A01030,3678.85
532234,NATIONAL ALUMINIUM CO.LTD.,INE139A01034,190.9
534309,NBCC (India) Limited,INE095N01031,123.2
533098,NHPC LTD.,INE848E01016,85.64
513683,NLC India Limited,INE589A01014,228.5
532555,NTPC LTD.,INE733E01010,337.95
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,242.9
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5
532898,POWER GRID CORPORATION OF INDI,INE752E01010,299.6
532955,REC LIMITED,INE020B01018,403.05
533206,SJVN LTD,INE002L01015,99.68
500112,STATE BANK OF INDIA,INE062A01020,805.4
