Scrip Code,COMPANY,ISIN No.,Close Price
533758,APL APOLLO TUBES LTD.,INE702C01027,1754.55
500477,ASHOK LEYLAND LTD.,INE208A01029,249.6
540611,AU Small Finance Bank Limited,INE949L01017,809.95
524804,AUROBINDO PHARMA LTD.,INE406A01037,1122.9
500493,BHARAT FORGE LTD.,INE465A01025,1309.2
500103,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,264.05
500093,CG Power and Industrial Soluti,INE067A01029,672.8
532541,COFORGE LIMITED,INE591G01025,1900.6
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,2381.25
500480,CUMMINS INDIA LTD.,INE298A01020,3341.45
540699,Dixon Technologies (India) Lim,INE935N01020,14478.85
500469,FEDERAL BANK LTD.,INE171A01029,208.45
533150,GODREJ PROPERTIES LTD,INE484J01027,2363.45
500104,HINDUSTAN PETROLEUM CORPORATIO,INE094A01015,439.1
539437,IDFC FIRST BANK LIMITED,INE092T01019,72.36
500850,INDIAN HOTELS CO.LTD.,INE053A01029,767.7
500257,LUPIN LTD.,INE326A01037,1936.9
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
526299,MPHASIS LTD.,INE356A01018,2799.8
523642,P.I.INDUSTRIES LTD.,INE603J01030,4154.25
543390,PB Fintech Limited,INE417T01026,1823.7
533179,PERSISTENT SYSTEMS LTD.,INE262H01021,6015.4
509930,SUPREME INDUSTRIES LTD.,INE195A01028,4344.8
532667,SUZLON ENERGY LTD.,INE040H01021,67.3
503100,THE PHOENIX MILLS LTD,INE211B01039,1571.05
500420,TORRENT PHARMACEUTICALS LTD.,INE685A01028,3344.4
540762,Tube Investments of India Ltd,INE974X01010,3080.5
512070,UPL LIMITED,INE628A01036,644.65
500575,VOLTAS LTD.,INE226A01021,1306.65
532648,YES BANK LTD.,INE528G01035,20.19
