Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M INDIA LTD.,INE470A01017,28587.9
524208,AARTI INDUSTRIES LTD.,INE769A01020,479.35
500488,ABBOTT INDIA LTD.,INE358A01014,35008.75
500410,ACC LTD.,INE012A01025,1921.5
540691,Aditya Birla Capital Ltd,INE674K01013,269.35
535755,Aditya Birla Fashion and Retai,INE647O01011,74.76
532683,AIA ENGINEERING LTD.,INE212H01026,3333.2
532331,AJANTA PHARMA LTD.,INE031B01049,2524.95
539523,Alkem Laboratories Limited,INE540L01014,4907.3
533758,APL APOLLO TUBES LTD.,INE702C01027,1754.55
500477,ASHOK LEYLAND LTD.,INE208A01029,249.6
532830,ASTRAL LIMITED,INE006I01046,1502
540611,AU Small Finance Bank Limited,INE949L01017,809.95
524804,AUROBINDO PHARMA LTD.,INE406A01037,1122.9
543458,AWL AGRI BUSINESS LIMITED,INE699H01024,259.15
502355,BALKRISHNA INDUSTRIES LTD.,INE787D01026,2463.75
541153,Bandhan Bank Limited,INE545U01014,185.55
532149,BANK OF INDIA,INE084A01016,116.8
532525,BANK OF MAHARASHTRA,INE457A01014,54.37
506285,BAYER CROPSCIENCE LTD.,INE462A01022,6112.2
500493,BHARAT FORGE LTD.,INE465A01025,1309.2
500103,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,264.05
544162,Bharti Hexacom Limited,INE343G01021,1971.8
532523,BIOCON LTD.,INE376G01013,354.1
544226,Brainbees Solutions Limited,INE02RE01045,391.05
500870,CASTROL INDIA LTD.,INE172A01027,217.05
532885,CENTRAL BANK OF INDIA,INE483A01010,39.2
500093,CG Power and Industrial Soluti,INE067A01029,672.8
543318,Clean Science and Technology L,INE227W01023,1463.6
532541,COFORGE LIMITED,INE591G01025,1900.6
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,2381.25
531344,CONTAINER CORPORATION OF INDIA,INE111A01025,756.2
506395,COROMANDEL INTERNATIONAL LTD.,INE169A01031,2450.65
500092,CRISIL LTD.,INE007A01025,5991.75
539876,Crompton Greaves Consumer Elec,INE299U01018,357.65
500480,CUMMINS INDIA LTD.,INE298A01020,3341.45
542216,DALMIA BHARAT LIMITED,INE00R701025,2207.3
506401,DEEPAK NITRITE LTD.,INE288B01029,1984.3
543529,Delhivery Limited,INE148O01028,382.8
540699,Dixon Technologies (India) Lim,INE935N01020,14478.85
531162,EMAMI LTD.,INE548C01032,567.15
544210,Emcure Pharmaceuticals Limited,INE168P01015,1299.25
540153,Endurance Technologies Limited,INE913H01037,2631.7
500495,Escorts Kubota Limited,INE042A01014,3342.45
500086,EXIDE INDUSTRIES LTD.,INE302A01020,388.45
500469,FEDERAL BANK LTD.,INE171A01029,208.45
543384,FSN E-Commerce Ventures Limite,INE388Y01029,209.85
540755,General Insurance Corporation,INE481Y01014,386.85
507815,GILLETTE INDIA LTD.,INE322A01010,10772.2
543245,Gland Pharma Limited,INE068V01023,1783.65
500660,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,3457.7
532296,GLENMARK PHARMACEUTICALS LTD.,INE935A01035,1712.8
532754,GMR Airports Limited,INE776C01039,84.72
544179,Go Digit General Insurance Lim,INE03JT01014,360.9
500164,GODREJ INDUSTRIES LTD.,INE233A01035,1248.4
533150,GODREJ PROPERTIES LTD,INE484J01027,2363.45
542812,Gujarat Fluorochemicals Limite,INE09N301011,3548.95
539336,Gujarat Gas Limited,INE844O01030,471
500104,HINDUSTAN PETROLEUM CORPORATIO,INE094A01015,439.1
517174,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,39646.4
539437,IDFC FIRST BANK LIMITED,INE092T01019,72.36
532814,INDIAN BANK,INE562A01011,626.6
500850,INDIAN HOTELS CO.LTD.,INE053A01029,767.7
542830,Indian Railway Catering and To,INE335Y01020,785.35
544026,Indian Renewable Energy Develo,INE202E01016,169.5
532514,INDRAPRASTHA GAS LTD.,INE203G01027,213.85
544309,INVENTURUS KNOWLEDGE SOLUTIONS,INE115Q01022,1615.9
524494,IPCA LABORATORIES LTD.,INE571A01038,1333.8
532508,JINDAL STAINLESS LTD.,INE220G01021,690.5
543994,JSW Infrastructure Limited,INE880J01026,316.65
533155,JUBILANT FOODWORKS LTD,INE797F01020,709.65
543278,Kalyan Jewellers India Limited,INE303R01014,544.6
500165,KANSAI NEROLAC PAINTS LTD.,INE531A01024,248.3
542651,KPIT Technologies Ltd,INE04I401011,1267.25
533519,L&T Finance Limited,INE498L01015,202.95
540115,L&T Technology Services Limite,INE010V01017,4384.65
540222,Laurus Labs Limited,INE947Q01028,701.7
500253,LIC HOUSING FINANCE LTD.,INE115A01026,612.35
523457,Linde India Limited,INE473A01011,6654.8
500257,LUPIN LTD.,INE326A01037,1936.9
532720,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,272.65
500271,Max Financial Services Limited,INE180A01020,1641.45
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
543237,Mazagon Dock Shipbuilders Limi,INE249Z01020,3169.5
526299,MPHASIS LTD.,INE356A01018,2799.8
500290,MRF LTD.,INE883A01011,143427.55
533398,MUTHOOT FINANCE LTD.,INE414G01012,2569.3
533098,NHPC LTD.,INE848E01016,85.64
540767,NIPPON LIFE INDIA ASSET MANAGE,INE298J01013,783.25
526371,NMDC LTD.,INE584A01023,69.93
533273,OBEROI REALTY LTD.,INE093I01010,1918.55
533106,OIL INDIA LTD.,INE274J01014,434.25
544225,Ola Electric Mobility Limited,INE0LXG01040,43.09
543396,One 97 Communications Limited,INE982J01020,919.4
532466,ORACLE FINANCIAL SERVICES SOFT,INE881D01027,9001.5
523642,P.I.INDUSTRIES LTD.,INE603J01030,4154.25
532827,PAGE INDUSTRIES LTD.,INE761H01022,49495.7
500368,Patanjali Foods Limited,INE619A01035,1645.45
543390,PB Fintech Limited,INE417T01026,1823.7
533179,PERSISTENT SYSTEMS LTD.,INE262H01021,6015.4
532522,PETRONET LNG LTD.,INE347G01014,302.6
500302,PIRAMAL ENTERPRISES LTD.,INE140A01024,1147.75
544238,Premier Energies Limited,INE0BS701011,1044.4
533274,PRESTIGE ESTATES PROJECTS LTD.,INE811K01011,1666.7
500459,PROCTER & GAMBLE HYGIENE & HEA,INE179A01014,13216.8
533295,PUNJAB & SIND BANK,INE608A01012,32.23
542649,Rail Vikas Nigam Limited,INE415G01027,395.25
530517,RELAXO FOOTWEARS LTD.,INE131B01039,424.75
505790,Schaeffler India Limited,INE513A01022,3898.35
533206,SJVN LTD,INE002L01015,99.68
532725,SOLAR INDUSTRIES INDIA LTD.,INE343H01029,17525.3
543300,Sona BLW Precision Forgings Li,INE073K01018,479.4
543412,Star Health and Allied Insuran,INE575P01011,418.45
500113,STEEL AUTHORITY OF INDIA LTD.,INE114A01011,131.65
532733,SUN TV NETWORK LTD.,INE424H01027,599
509930,SUPREME INDUSTRIES LTD.,INE195A01028,4344.8
532667,SUZLON ENERGY LTD.,INE040H01021,67.3
500483,TATA COMMUNICATIONS LTD.,INE151A01013,1678.8
500408,TATA ELXSI LTD.,INE670A01012,6345.6
544028,Tata Technologies Limited,INE142M01025,715.25
540769,The New India Assurance Compan,INE470Y01017,183.7
503100,THE PHOENIX MILLS LTD,INE211B01039,1571.05
500260,THE RAMCO CEMENTS LIMITED,INE331A01037,1053.95
500411,THERMAX LTD.,INE152A01029,3357.9
500420,TORRENT PHARMACEUTICALS LTD.,INE685A01028,3344.4
532779,TORRENT POWER LTD.,INE813H01021,1473.15
540762,Tube Investments of India Ltd,INE974X01010,3080.5
532505,UCO BANK,INE691A01018,31.58
532478,UNITED BREWERIES LTD.,INE686F01025,1961.15
532539,UNO Minda Limited,INE405E01023,1108.5
512070,UPL LIMITED,INE628A01036,644.65
543463,Vedant Fashions Limited,INE825V01034,803.85
544307,Vishal Mega Mart Limited,INE01EA01019,134.7
500575,VOLTAS LTD.,INE226A01021,1306.65
500238,WHIRLPOOL OF INDIA LTD.,INE716A01013,1404.9
532648,YES BANK LTD.,INE528G01035,20.19
505537,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,144.25
