Scrip Code,COMPANY,ISIN No.,Close Price
512599,ADANI ENTERPRISES LTD.,INE423A01024,2648.35
508869,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,7305.95
532977,BAJAJ AUTO LTD.,INE917I01010,8442.4
500825,BRITANNIA INDUSTRIES LTD.,INE216A01030,5792.7
500087,CIPLA LTD.,INE059A01026,1502.75
533278,COAL INDIA LTD.,INE522F01014,394.8
532488,DIVIS LABORATORIES LTD.,INE361B01024,6657.95
500124,DR.REDDYS LABORATORIES LTD.,INE089A01031,1301.15
505200,EICHER MOTORS LTD.,INE066A01021,5652.65
500300,GRASIM INDUSTRIES LTD.,INE047A01021,2864.85
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,807.35
500440,HINDALCO INDUSTRIES LTD.,INE038A01020,697.6
541154,Hindustan Aeronautics Limited,INE066F01020,4896.6
500850,INDIAN HOTELS CO.LTD.,INE053A01029,767.7
532187,INDUSIND BANK LTD.,INE095A01012,857.75
539448,InterGlobe Aviation Limited,INE646L01027,5811.65
543940,Jio Financial Services Limited,INE758E01017,323.55
500228,JSW STEEL LTD.,INE019A01038,1029.1
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
500790,NESTLE INDIA LTD.,INE239A01024,2457.75
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,242.9
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5
532955,REC LIMITED,INE020B01018,403.05
540719,SBI Life Insurance Company Lim,INE123W01016,1850.55
511218,Shriram Finance Limited,INE721A01047,699.75
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1122.9
500400,TATA POWER CO.LTD.,INE245A01021,408.8
540180,Varun Beverages Limited,INE200M01039,461.8
500295,VEDANTA LIMITED,INE205A01025,464.05
507685,WIPRO LTD.,INE075A01022,265.05
