Scrip Code,COMPANY,ISIN No.,Close Price
541450,Adani Green Energy Limited,INE364U01010,1015.75
533096,ADANI POWER LTD.,INE814H01011,584.25
500425,AMBUJA CEMENTS LTD.,INE079A01024,575.2
540611,AU Small Finance Bank Limited,INE949L01017,809.95
540376,Avenue Supermarts Limited,INE192R01011,4310.95
500490,BAJAJ HOLDINGS & INVESTMENT LT,INE118A01012,14149.4
532134,BANK OF BARODA,INE028A01039,241.35
500547,BHARAT PETROLEUM CORPORATION L,INE029A01011,333.05
500825,BRITANNIA INDUSTRIES LTD.,INE216A01030,5792.7
532483,CANARA BANK,INE476A01022,111
511243,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,1653.5
532541,COFORGE LIMITED,INE591G01025,1900.6
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,2381.25
500480,CUMMINS INDIA LTD.,INE298A01020,3341.45
532488,DIVIS LABORATORIES LTD.,INE361B01024,6657.95
540699,Dixon Technologies (India) Lim,INE935N01020,14478.85
532868,DLF LTD.,INE271C01023,845.85
500469,FEDERAL BANK LTD.,INE171A01029,208.45
532155,GAIL (INDIA) LTD.,INE129A01019,190.95
532424,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,1176.2
517354,HAVELLS INDIA LTD.,INE176B01034,1566.8
541729,HDFC Asset Management Company,INE127D01025,5146.85
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,807.35
500182,HERO MOTOCORP LTD.,INE158A01026,4320.85
540716,ICICI Lombard General Insuranc,INE765G01017,2018.15
500850,INDIAN HOTELS CO.LTD.,INE053A01029,767.7
530965,INDIAN OIL CORPORATION LTD.,INE242A01010,147.15
534816,INDUS TOWERS LIMITED,INE121J01017,412.4
532777,INFO EDGE (INDIA) LTD.,INE663F01032,1517.05
540005,LTIMindtree Limited,INE214T01019,5287.2
500257,LUPIN LTD.,INE326A01037,1936.9
531642,MARICO LTD.,INE196A01026,731.05
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
543390,PB Fintech Limited,INE417T01026,1823.7
533179,PERSISTENT SYSTEMS LTD.,INE262H01021,6015.4
500331,PIDILITE INDUSTRIES LTD.,INE318A01026,3052.5
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5
532461,PUNJAB NATIONAL BANK,INE160A01022,106.35
532955,REC LIMITED,INE020B01018,403.05
517334,Samvardhana Motherson Internat,INE775A01035,154.4
500387,SHREE CEMENT LTD.,INE070A01015,30999.55
503806,SRF LTD.,INE647A01010,3169.55
532667,SUZLON ENERGY LTD.,INE040H01021,67.3
500400,TATA POWER CO.LTD.,INE245A01021,408.8
540762,Tube Investments of India Ltd,INE974X01010,3080.5
532343,TVS MOTOR COMPANY LTD.,INE494B01023,2938.4
532432,UNITED SPIRITS LTD.,INE854D01024,1442.65
540180,Varun Beverages Limited,INE200M01039,461.8
500295,VEDANTA LIMITED,INE205A01025,464.05
532648,YES BANK LTD.,INE528G01035,20.19
