Scrip Code,COMPANY,ISIN No.,Close Price
512599,ADANI ENTERPRISES LTD.,INE423A01024,2648.35
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1440.1
508869,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,7305.95
500820,ASIAN PAINTS LTD.,INE021A01026,2359.25
532215,AXIS BANK LTD.,INE238A01034,1225.2
532977,BAJAJ AUTO LTD.,INE917I01010,8442.4
500034,BAJAJ FINANCE LIMITED,INE296A01032,946.55
532978,BAJAJ FINSERV LTD.,INE918I01026,2042.9
500049,BHARAT ELECTRONICS LTD.,INE263A01024,414.95
532454,BHARTI AIRTEL LTD.,INE397D01024,2027.9
500825,BRITANNIA INDUSTRIES LTD.,INE216A01030,5792.7
500087,CIPLA LTD.,INE059A01026,1502.75
533278,COAL INDIA LTD.,INE522F01014,394.8
532488,DIVIS LABORATORIES LTD.,INE361B01024,6657.95
500124,DR.REDDYS LABORATORIES LTD.,INE089A01031,1301.15
505200,EICHER MOTORS LTD.,INE066A01021,5652.65
543320,Eternal Limited,INE758T01015,262.15
500300,GRASIM INDUSTRIES LTD.,INE047A01021,2864.85
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1725.1
500180,HDFC BANK LTD.,INE040A01034,2014.4
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,807.35
500440,HINDALCO INDUSTRIES LTD.,INE038A01020,697.6
541154,Hindustan Aeronautics Limited,INE066F01020,4896.6
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2306.15
532174,ICICI BANK LTD.,INE090A01021,1461.75
500850,INDIAN HOTELS CO.LTD.,INE053A01029,767.7
532187,INDUSIND BANK LTD.,INE095A01012,857.75
500209,INFOSYS LTD.,INE009A01021,1608.6
539448,InterGlobe Aviation Limited,INE646L01027,5811.65
500875,ITC LTD.,INE154A01025,418.95
543940,Jio Financial Services Limited,INE758E01017,323.55
500228,JSW STEEL LTD.,INE019A01038,1029.1
500247,KOTAK MAHINDRA BANK LTD.,INE237A01028,2208
500510,LARSEN & TOUBRO LTD.,INE018A01030,3678.85
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3205.5
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12644.9
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
500790,NESTLE INDIA LTD.,INE239A01024,2457.75
532555,NTPC LTD.,INE733E01010,337.95
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,242.9
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5
532898,POWER GRID CORPORATION OF INDI,INE752E01010,299.6
532955,REC LIMITED,INE020B01018,403.05
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1516.05
540719,SBI Life Insurance Company Lim,INE123W01016,1850.55
511218,Shriram Finance Limited,INE721A01047,699.75
500112,STATE BANK OF INDIA,INE062A01020,805.4
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1688
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,3443.15
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1122.9
500570,TATA MOTORS LTD.,INE155A01022,686.7
500400,TATA POWER CO.LTD.,INE245A01021,408.8
500470,TATA STEEL LTD.,INE081A01020,161.4
532755,TECH MAHINDRA LTD.,INE669C01036,1675.1
500114,TITAN COMPANY LIMITED,INE280A01028,3665.1
500251,TRENT LTD.,INE849A01020,6018.2
532538,ULTRATECH CEMENT LTD.,INE481G01011,12234.95
540180,Varun Beverages Limited,INE200M01039,461.8
500295,VEDANTA LIMITED,INE205A01025,464.05
507685,WIPRO LTD.,INE075A01022,265.05
