Scrip Code,COMPANY,ISIN No.,Close Price
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1440.1
500820,ASIAN PAINTS LTD.,INE021A01026,2359.25
532215,AXIS BANK LTD.,INE238A01034,1225.2
500034,BAJAJ FINANCE LIMITED,INE296A01032,946.55
532978,BAJAJ FINSERV LTD.,INE918I01026,2042.9
500049,BHARAT ELECTRONICS LTD.,INE263A01024,414.95
532454,BHARTI AIRTEL LTD.,INE397D01024,2027.9
543320,Eternal Limited,INE758T01015,262.15
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1725.1
500180,HDFC BANK LTD.,INE040A01034,2014.4
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2306.15
532174,ICICI BANK LTD.,INE090A01021,1461.75
500209,INFOSYS LTD.,INE009A01021,1608.6
500875,ITC LTD.,INE154A01025,418.95
500247,KOTAK MAHINDRA BANK LTD.,INE237A01028,2208
500510,LARSEN & TOUBRO LTD.,INE018A01030,3678.85
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3205.5
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12644.9
532555,NTPC LTD.,INE733E01010,337.95
532898,POWER GRID CORPORATION OF INDI,INE752E01010,299.6
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1516.05
500112,STATE BANK OF INDIA,INE062A01020,805.4
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1688
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,3443.15
500570,TATA MOTORS LTD.,INE155A01022,686.7
500470,TATA STEEL LTD.,INE081A01020,161.4
532755,TECH MAHINDRA LTD.,INE669C01036,1675.1
500114,TITAN COMPANY LIMITED,INE280A01028,3665.1
500251,TRENT LTD.,INE849A01020,6018.2
532538,ULTRATECH CEMENT LTD.,INE481G01011,12234.95
