Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1197.65
500040,ADITYA BIRLA REAL ESTATE LIMIT,INE055A01016,2399.15
500008,Amara Raja Energy & Mobility L,INE885A01032,962.75
543235,ANGEL ONE LIMITED,INE732I01013,2910.6
532259,APAR INDUSTRIES LTD.,INE372A01015,8435.95
500877,APOLLO TYRES LTD.,INE438A01022,447.1
500027,ATUL LTD.,INE100A01010,7402.1
541143,Bharat Dynamics Limited,INE171Z01026,1891.45
532400,BIRLASOFT LIMITED,INE836A01035,432.35
500067,BLUE STAR LTD.,INE472A01039,1628.1
532929,BRIGADE ENTERPRISES LTD.,INE791I01019,1110.25
513375,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,956.7
504973,CHOLAMANDALAM FINANCIAL HOLDIN,INE149A01033,2066.35
532210,CITY UNION BANK LTD.,INE491A01021,205.85
540678,Cochin Shipyard Limited,INE704P01025,2045
543064,Cohance Lifesciences Limited,INE03QK01018,944.05
543232,Computer Age Management Servic,INE596I01012,4292.05
532175,CYIENT LIMITED,INE136B01020,1304.4
539524,Dr. Lal Pathlabs Limited,INE600L01024,2771.25
522074,ELGI EQUIPMENTS LTD.,INE285A01027,536.8
532843,FORTIS HEALTHCARE LTD.,INE061F01013,783.95
543654,Global Health Limited,INE474Q01031,1136.45
500620,GREAT EASTERN SHIPPING CO.LTD.,INE017A01032,973.8
532702,GUJARAT STATE PETRONET LTD.,INE246F01010,331.1
500183,HFCL LIMITED,INE548A01028,86.94
500184,Himadri Speciality Chemical Lt,INE019C01026,504.95
513599,HINDUSTAN COPPER LTD.,INE531E01026,276.1
543187,HITACHI ENERGY INDIA LIMITED,INE07Y701011,19940.4
540530,Housing &Urban Development Cor,INE031A01017,236
532636,IIFL FINANCE LIMITED,INE530B01024,470.85
540750,Indian Energy Exchange Limited,INE022Q01020,189.25
539083,Inox Wind Limited,INE066P01011,175.8
506943,J.B.CHEMICALS & PHARMACEUTICAL,INE572A01036,1799.35
532644,J.K.CEMENT LTD.,INE823G01014,6344.45
500233,KAJARIA CERAMICS LTD.,INE217B01036,1086.05
522287,KALPATARU PROJECTS INTERNATION,INE220B01022,1225.4
543664,KAYNES TECHNOLOGY INDIA LIMITE,INE918Z01012,5863.3
532714,KEC INTERNATIONAL LTD.,INE389H01022,906.25
517569,KEI INDUSTRIES LTD.,INE878B01027,3784.9
543720,KFin Technologies Limited,INE138Y01010,1345.55
543308,Krishna Institute of Medical S,INE967H01025,663.8
512455,LLOYDS METALS AND ENERGY LTD.,INE281B01032,1547.95
543498,Motherson Sumi Wiring India Li,INE0FS801015,60.11
532892,MOTILAL OSWAL FINANCIAL SERVIC,INE338I01027,855.4
534091,MULTI COMMODITY EXCHANGE OF IN,INE745G01035,8859.15
524816,NATCO PHARMA LTD.,INE987B01026,883.75
532234,NATIONAL ALUMINIUM CO.LTD.,INE139A01034,190.9
532504,NAVIN FLUORINE INTERNATIONAL L,INE048G01026,4820.6
500294,NCC LIMITED,INE868B01028,229.75
543635,PIRAMAL PHARMA LIMITED,INE0DK501011,202.9
532689,PVR INOX LIMITED,INE191H01014,966.6
532497,RADICO KHAITAN LTD.,INE944F01028,2591.85
540065,RBL Bank Limited,INE976G01028,239.55
532805,Redington Limited,INE891D01026,320.95
535789,Sammaan Capital Limited,INE148I01020,140.6
500472,SKF INDIA LTD.,INE640A01023,4616.45
532221,SONATA SOFTWARE LTD.,INE269A01021,412.65
539268,Syngene International Limited,INE398R01022,643.15
500770,TATA CHEMICALS LTD.,INE092A01019,933.85
522113,TIMKEN INDIA LTD.,INE325A01013,3353.5
