Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1197.65
540776,5paisa Capital Limited,INE618L01018,410.45
526881,63 Moons Technologies Limited,INE111B01023,1008.6
544176,Aadhar Housing Finance Limited,INE883F01010,443.85
524348,AARTI DRUGS LTD.,INE767A01016,452.9
543748,Aarti Pharmalabs Limited,INE0LRU01027,859.25
541988,AAVAS Financiers Limited,INE216P01012,1991.9
543712,ABANS FINANCIAL SERVICES LIMIT,INE00ZE01026,247.25
532268,ACCELYA SOLUTIONS INDIA LIMITE,INE793A01012,1420.55
544283,ACME Solar Holdings Limited,INE622W01025,249.3
532762,ACTION CONSTRUCTION EQUIPMENT,INE731H01025,1212.05
543349,ACUTAAS CHEMICALS LIMITED,INE00FF01025,1141.4
519183,ADF FOODS LTD.,INE982B01027,275.9
500040,ADITYA BIRLA REAL ESTATE LIMIT,INE055A01016,2399.15
543374,Aditya Birla Sun Life AMC Limi,INE404A01024,764.9
540205,Aditya Vision Limited,INE679V01027,397.4
517041,ADOR WELDING LTD.,INE045A01017,1017.05
543230,ADVAIT ENERGY TRANSITIONS LIMI,INE0ALI01010,1864.9
540025,Advanced Enzyme Technologies L,INE837H01020,329.8
500003,AEGIS LOGISTICS LTD.,INE208C01025,782.55
511076,AEROFLEX ENTERPRISES LIMITED,INE065D01027,99.6
543972,Aeroflex Industries Limited,INE024001021,209.7
543534,Aether Industries Limited,INE0BWX01014,764.8
544280,Afcons Infrastructure Limited,INE101I01011,442.55
542752,AFFLE 3I LIMITED,INE00WC01027,1981.95
531921,AGARWAL INDUSTRIAL CORPORATION,INE204E01012,980.2
500187,AGI GREENPAC LIMITED,INE415A01038,806.8
532811,AHLUWALIA CONTRACTS (INDIA) LT,INE758C01029,989.45
513349,AJMERA REALTY & INFRA INDIA LT,INE298G01027,928.2
544222,Akums Drugs and Pharmaceutical,INE09XN01023,593.35
500710,AKZO NOBEL INDIA LIMITED,INE133A01011,3414.75
506235,ALEMBIC LTD.,INE426A01027,115.6
533573,ALEMBIC PHARMACEUTICALS LTD.,INE901L01018,971.85
531147,ALICON CASTALLOY LIMITED,INE062D01024,884.95
543322,ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1001.25
506767,ALKYL AMINES CHEMICALS LTD.,INE150B01039,2259.4
532345,ALLCARGO GATI LIMITED,INE152B01027,67.8
532749,ALLCARGO LOGISTICS LTD.,INE418H01029,34.86
543954,Allcargo Terminals Limited,INE0NN701020,28.93
532633,Alldigi Tech Limited,INE835G01018,916.95
544203,Allied Blenders and Distillers,INE552Z01027,425.25
521070,ALOK INDUSTRIES LTD.,INE270A01029,20.49
500008,Amara Raja Energy & Mobility L,INE885A01032,962.75
540902,Amber Enterprises India Limite,INE371P01015,6845.05
543415,Anand Rathi Wealth Limited,INE463V01026,2073
515055,ANANT RAJ LIMITED,INE242C01024,554
502330,ANDHRA PAPER LIMITED,INE435A01051,83.21
526173,ANDREW YULE & COMPANY LTD.,INE449C01025,31.68
543235,ANGEL ONE LIMITED,INE732I01013,2910.6
543254,Antony Waste Handling Cell Lim,INE01BK01022,656.9
543275,Anupam Rasayan India Limited,INE930P01018,1132.65
532259,APAR INDUSTRIES LTD.,INE372A01015,8435.95
523694,APCOTEX INDUSTRIES LTD.,INE116A01032,392.15
544111,Apeejay Surrendra Park Hotels,INE988S01028,161.85
540879,Apollo Micro Systems Limited,INE713T01028,192.8
531761,APOLLO PIPES LIMITED,INE126J01016,426.75
500877,APOLLO TYRES LTD.,INE438A01022,447.1
532475,APTECH LTD.,INE266F01018,157.95
543335,Aptus Value Housing Finance In,INE852O01025,318.6
543657,Archean Chemical Industries Li,INE128X01021,629.95
506194,ARIHANT SUPERSTRUCTURES LIMITE,INE643K01018,380.9
544261,ARKADE DEVELOPERS LIMITED,INE0QRL01017,195.15
531179,ARMAN FINANCIAL SERVICES LTD.,INE109C01017,1752.1
542919,Artemis Medicare Services Limi,INE025R01021,253.8
542484,Arvind Fashions Limited,INE955V01021,482.65
500101,ARVIND LTD.,INE034A01011,354.75
539301,Arvind SmartSpaces Limited,INE034S01021,664.85
515030,ASAHI INDIA GLASS LTD.,INE439A01020,733.85
527001,ASHAPURA MINECHEM LTD.,INE348A01023,429.5
523716,ASHIANA HOUSING LTD.,INE365D01021,349.15
533271,ASHOKA BUILDCON LTD.,INE442H01029,212.65
544022,ASK Automotive Limited,INE491J01022,523.1
533138,ASTEC LIFESCIENCES LIMITED,INE563J01010,938.55
540975,Aster DM Healthcare Limited,INE914M01019,588.1
532493,ASTRA MICROWAVE PRODUCTS LTD.,INE386C01029,1047.8
506820,ASTRAZENECA PHARMA INDIA LTD.,INE203A01020,8896.3
531795,ATUL AUTO LTD.,INE951D01028,455.1
500027,ATUL LTD.,INE100A01010,7402.1
539177,Authum Investment & Infrastruc,INE206F01022,2625.35
505010,AUTOMOTIVE AXLES LTD.,INE449A01011,1821.8
540649,AVADH SUGAR & ENERGY LIMITED,INE349W01017,504.1
543896,Avalon Technologies Limited,INE0LCL01028,824.35
512573,AVANTI FEEDS LTD.,INE871C01038,718.6
519105,AVT NATURAL PRODUCTS LTD.,INE488D01021,66.67
544181,Awfis Space Solutions Limited,INE108V01019,652.5
532395,AXISCADES TECHNOLOGIES LIMITED,INE555B01013,1425.3
544061,Azad Engineering Limited,INE02IJ01035,1600.95
532719,B.L.KASHYAP AND SONS LTD.,INE350H01032,66.36
544243,Baazar Style Retail Limited,INE01FR01028,298.35
533229,BAJAJ CONSUMER CARE LIMITED,INE933K01021,205.7
500031,BAJAJ ELECTRICALS LTD.,INE193E01025,684.1
500032,BAJAJ HINDUSTHAN SUGAR LIMITED,INE306A01021,25.91
544042,Bajel Projects Limited,INE0KQN01018,243.9
530999,BALAJI AMINES LTD.,INE050E01027,1787.05
523319,BALMER LAWRIE & CO.LTD.,INE164A01016,213.6
532485,BALMER LAWRIE INVESTMENTS LTD.,INE525F01025,81.24
500038,BALRAMPUR CHINI MILLS LTD.,INE119A01028,590.4
531112,BALU FORGE INDUSTRIES LIMITED,INE011E01029,679.65
500039,BANCO PRODUCTS (INDIA) LTD.,INE213C01025,588.4
500041,BANNARI AMMAN SUGARS LTD.,INE459A01010,3899
544209,Bansal Wire Industries Limited,INE0B9K01025,388.8
543283,BARBEQUE-NATION HOSPITALITY LI,INE382M01027,316.65
500042,BASF INDIA LTD.,INE373A01013,5106.25
500043,BATA INDIA LTD.,INE176A01028,1231.85
524332,BCL INDUSTRIES LIMITED,INE412G01024,42.34
539018,Beekay Steel Industries Ltd.,INE213D01015,521.9
500048,BEML LTD.,INE258A01016,4428.35
509438,BENARES HOTELS LTD.,INE664D01019,9910.1
533095,BENGAL & ASSAM COMPANY LTD.,INE083K01017,8277.15
539660,BEST AGROLIFE LIMITED,INE052T01013,323.35
533303,BF INVESTMENT LTD.,INE878K01010,493.3
532430,BF UTILITIES LTD.,INE243D01012,780.6
500052,BHANSALI ENGINEERING POLYMERS,INE922A01025,116.2
503960,BHARAT BIJLEE LTD.,INE464A01036,3063.4
541143,Bharat Dynamics Limited,INE171Z01026,1891.45
539799,Bharat Wire Ropes Limited,INE316L01019,224.45
540061,Bigbloc Construction Limited,INE412U01025,65.34
543653,Bikaji Foods International Lim,INE00E101023,754.35
500335,BIRLA CORPORATION LTD.,INE340A01012,1336.45
509675,BIRLANU LIMITED,INE557A01011,2260.9
532400,BIRLASOFT LIMITED,INE836A01035,432.35
500463,BLACK BOX LIMITED,INE676A01027,498.1
506197,BLISS GVS PHARMA LTD.,INE416D01022,157.85
544107,BLS E-Services Limited,INE0NLT01010,202.35
540073,BLS International Services Ltd,INE153T01027,379.4
526612,BLUE DART EXPRESS LTD.,INE233B01017,6367.6
544009,Blue Jet Healthcare Limited,INE0KBH01020,864.75
500067,BLUE STAR LTD.,INE472A01039,1628.1
542669,BMW INDUSTRIES LIMITED,INE374E01021,55.63
501425,BOMBAY BURMAH TRADING CORP.LTD,INE050A01025,1975.1
500020,BOMBAY DYEING & MFG.CO.LTD.,INE032A01023,162.65
543212,Borosil Limited,INE02PY01013,344.25
502219,BOROSIL RENEWABLES LIMITED,INE666D01022,528.25
544184,Borosil Scientific Limited,INE02L001032,164.9
532929,BRIGADE ENTERPRISES LTD.,INE791I01019,1110.25
517421,BUTTERFLY GANDHIMATHI APPLIANC,INE295F01017,735.4
543425,C.E. Info Systems Limited,INE0BV301023,1740.2
532834,Camlin Fine Sciences Ltd,INE052I01032,318.45
543523,Campus Activewear Limited,INE278Y01022,281.2
511196,CAN FIN HOMES LTD.,INE477A01020,791.35
533267,CANTABIL RETAIL INDIA LTD.,INE068L01024,265.4
540710,Capacit'e Infraprojects Limite,INE264T01014,337.35
544120,Capital Small Finance Bank Ltd,INE646H01017,293.45
524742,CAPLIN POINT LABORATORIES LTD.,INE475E01026,2084.6
531595,CAPRI GLOBAL CAPITAL LIMITED,INE180C01042,170.1
513375,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,956.7
534804,CARE Ratings Limited,INE752H01013,1766.35
544320,CARRARO INDIA LIMITED,INE0V7W01012,435
543333,CarTrade Tech Limited,INE290S01011,1603.35
524091,CARYSIL LIMITED,INE482D01024,869.6
