Sc_code,Sc_name,Sc_group,Sc_type,Open,High,Low,Close,Last Trd Price,Prev close,Previous close Date,no_trades,No of Shares,Turnover,Wt. Avg. Price,2W Avg. Qty,perc_del_qty,date,Total No of Shrs,Free Float No of Shrs,52 W High,52 W Low,FACE_VALUE,Exdate,Purpose,Industry,
500002,ABB,A ,Q,6033.30,6060.00,5943.70,5966.60,5966.60,6003.00,6/24/2025 00:00:00,1303,3306,19798683.00,5988.71,5915,41.98,6/25/2025 00:00:00,211908375,52298351.224875,8941.45,4590.05,2.00,,,Capital Goods,
500003,AEGISLOG,A ,Q,793.05,801.95,790.15,795.85,795.85,787.40,6/24/2025 00:00:00,543,15981,12717400.00,795.78,32963,31.73,6/25/2025 00:00:00,351000000,125342802.000000,1035.70,610.50,1.00,25/06/2025,,"Oil, Gas & Consumable Fuels",
500008,ARE&M,A ,Q,973.80,979.45,967.00,969.40,969.40,971.40,6/24/2025 00:00:00,4433,55884,54312332.00,971.88,35987,56.80,6/25/2025 00:00:00,183025364,122149846.756052,1774.90,805.05,1.00,,,Automobile and Auto Components,
500009,AMBALALSA,X ,Q,36.26,36.90,35.12,35.52,35.52,35.73,6/24/2025 00:00:00,298,97482,3500693.00,35.91,67397,68.46,6/25/2025 00:00:00,76633296,51379406.369568,77.70,34.11,10.00,,,Healthcare,
500012,ANDHRAPET,X ,Q,54.41,55.49,54.05,54.86,54.86,54.33,6/24/2025 00:00:00,407,48138,2640937.00,54.86,46764,69.83,6/25/2025 00:00:00,84971600,43865908.727200,120.90,47.50,10.00,,,Chemicals,
500013,ANSALAPI,Z ,Q,4.19,4.26,4.11,4.17,4.17,4.19,6/24/2025 00:00:00,73,22461,93089.00,4.14,27471,100.00,6/25/2025 00:00:00,157402276,79819008.964152,15.59,3.64,5.00,,,Realty,
500014,UTIQUE,X ,Q,5.03,5.03,4.79,4.82,4.82,4.79,6/24/2025 00:00:00,52,7390,35761.00,4.84,17553,74.49,6/25/2025 00:00:00,55673122,52355616.333142,8.70,3.77,10.00,,,Metals & Mining,
500016,ARUNAHTEL,X ,Q,9.91,9.91,9.20,9.38,9.38,9.85,6/24/2025 00:00:00,90,27301,256980.00,9.41,17768,73.38,6/25/2025 00:00:00,33900000,14815995.000000,13.19,8.80,10.00,,,Consumer Services,
500020,BOMDYEING,A ,Q,149.75,155.90,149.65,155.35,155.35,148.85,6/24/2025 00:00:00,992,97066,14850286.00,152.99,83936,48.43,6/25/2025 00:00:00,206534900,94092137.067500,256.25,117.25,2.00,,,Textiles,
500023,ASIANHOTNR,T ,Q,370.00,370.00,363.80,363.80,363.80,355.00,6/24/2025 00:00:00,2,9,3280.00,364.44,179,100.00,6/25/2025 00:00:00,19453229,10308674.564909,403.65,135.00,10.00,,,Consumer Services,
