SYMBOL_CODE,COMPANY_NAME,SYMBOL_NAME,IndexName,SECTOR_NAME,INDUSTRY,INSTRUMENT
500002,ABB INDIA LIMITED,ABB,BSE LargeCapindex,Industrials,Capital Goods,Equity
500003,AEGIS LOGISTICS LTD.,AEGISLOG,BSE SmallCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500008,Amara Raja Energy & Mobility L,ARE&M,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500020,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
500027,ATUL LTD.,ATUL,BSE SmallCapindex,Commodities,Chemicals,Equity
500031,BAJAJ ELECTRICALS LTD.,BAJAJELEC,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500032,BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJHIND,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500033,FORCE MOTORS LTD.,FORCEMOT,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500034,BAJAJ FINANCE LIMITED,BAJFINANCE,BSE SENSEXindex,Financial Services,Financial Services,Equity
500038,BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500039,BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500040,ADITYA BIRLA REAL ESTATE LIMIT,ABREL,BSE SmallCapindex,Commodities,Forest Materials,Equity
500041,BANNARI AMMAN SUGARS LTD.,BANARISUG,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500042,BASF INDIA LTD.,BASF,BSE SmallCapindex,Commodities,Chemicals,Equity
500043,BATA INDIA LTD.,BATAINDIA,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500048,BEML LTD.,BEML,BSE SmallCapindex,Industrials,Capital Goods,Equity
500049,BHARAT ELECTRONICS LTD.,BEL,BSE SENSEXindex,Industrials,Capital Goods,Equity
500052,BHANSALI ENGINEERING POLYMERS,BEPL,BSE SmallCapindex,Commodities,Chemicals,Equity
500067,BLUE STAR LTD.,BLUESTARCO,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500078,ORIENTAL AROMATICS LIMITED,OAL,BSE SmallCapindex,Commodities,Chemicals,Equity
500084,CESC LTD.,CESC,BSE SmallCapindex,Utilities,Power,Equity
500085,CHAMBAL FERTILISERS & CHEMICAL,CHAMBLFERT,BSE SmallCapindex,Commodities,Chemicals,Equity
500086,EXIDE INDUSTRIES LTD.,EXIDEIND,BSE MidCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500087,CIPLA LTD.,CIPLA,BSE SENSEX SIXTYindex,Healthcare,Healthcare,Equity
500092,CRISIL LTD.,CRISIL,BSE MidCapindex,Financial Services,Financial Services,Equity
500093,CG Power and Industrial Soluti,CGPOWER,BSE MidCapindex,Industrials,Capital Goods,Equity
500096,DABUR INDIA LTD.,DABUR,BSE LargeCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500097,DALMIA BHARAT SUGAR AND INDUST,DALMIASUG,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500101,ARVIND LTD.,ARVIND,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
500103,BHARAT HEAVY ELECTRICALS LTD.,BHEL,BSE MidCapindex,Industrials,Capital Goods,Equity
500104,HINDUSTAN PETROLEUM CORPORATIO,HINDPETRO,BSE MidCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500106,IFCI LTD.,IFCI,BSE SmallCapindex,Financial Services,Financial Services,Equity
500108,MAHANAGAR TELEPHONE NIGAM LTD.,MTNL,BSE SmallCapindex,Telecommunication,Telecommunication,Equity
500109,MANGALORE REFINERY & PETROCHEM,MRPL,BSE SmallCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500110,CHENNAI PETROLEUM CORPORATION,CHENNPETRO,BSE SmallCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500112,STATE BANK OF INDIA,SBIN,BSE SENSEXindex,Financial Services,Financial Services,Equity
500113,STEEL AUTHORITY OF INDIA LTD.,SAIL,BSE MidCapindex,Commodities,Metals & Mining,Equity
500114,TITAN COMPANY LIMITED,TITAN,BSE SENSEXindex,Consumer Discretionary,Consumer Durables,Equity
500116,IDBI BANK LTD.,IDBI,BSE LargeCapindex,Financial Services,Financial Services,Equity
500117,DCW LTD.,DCW,BSE SmallCapindex,Commodities,Chemicals,Equity
500119,DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500123,ELANTAS BECK INDIA LTD.,ELANTAS,BSE SmallCapindex,Commodities,Chemicals,Equity
500124,DR.REDDYS LABORATORIES LTD.,DRREDDY,BSE SENSEX SIXTYindex,Healthcare,Healthcare,Equity
500125,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500126,PROCTER & GAMBLE HEALTH LIMITE,PGHL,BSE SmallCapindex,Healthcare,Healthcare,Equity
500128,ELECTROSTEEL CASTINGS LTD.,ELECTCAST,BSE SmallCapindex,Industrials,Capital Goods,Equity
500133,ESAB INDIA LTD.,ESABINDIA,BSE SmallCapindex,Industrials,Capital Goods,Equity
500135,EPL LIMITED,EPL,BSE SmallCapindex,Industrials,Capital Goods,Equity
500144,FINOLEX CABLES LTD.,FINCABLES,BSE SmallCapindex,Industrials,Capital Goods,Equity
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,BSE SmallCapindex,Industrials,Capital Goods,Equity
500148,UFLEX LTD.,UFLEX,BSE SmallCapindex,Industrials,Capital Goods,Equity
