SYMBOL,COMPANY_NAME,INDUSTRY,INDEX_NAME
360ONE,360 ONE WAM Ltd.,Financial Services,nifty500LargeMidSmallEqualCapWeighted
360ONE,360 ONE WAM Ltd.,Financial Services,nifty500
360ONE,360 ONE WAM Ltd.,Financial Services,nifty500Multicap502525
360ONE,360 ONE WAM Ltd.,Financial Services,niftylargemidcap250
360ONE,360 ONE WAM Ltd.,Financial Services,niftymidcap150
360ONE,360 ONE WAM Ltd.,Financial Services,niftymidsmallcap400
360ONE,360 ONE WAM Ltd.,Financial Services,niftytotalmarket
3MINDIA,3M India Ltd.,Diversified,nifty500LargeMidSmallEqualCapWeighted
3MINDIA,3M India Ltd.,Diversified,nifty500
3MINDIA,3M India Ltd.,Diversified,nifty500Multicap502525
3MINDIA,3M India Ltd.,Diversified,niftylargemidcap250
3MINDIA,3M India Ltd.,Diversified,niftymidcap150
3MINDIA,3M India Ltd.,Diversified,niftymidsmallcap400
3MINDIA,3M India Ltd.,Diversified,niftytotalmarket
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,nifty500
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,nifty500Multicap502525
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,niftymidsmallcap400
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,niftysmallcap100
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,niftysmallcap250
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,niftytotalmarket
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,niftymicrocap250
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,niftytotalmarket
AARTIIND,Aarti Industries Ltd.,Chemicals,nifty500LargeMidSmallEqualCapWeighted
AARTIIND,Aarti Industries Ltd.,Chemicals,nifty500
AARTIIND,Aarti Industries Ltd.,Chemicals,nifty500Multicap502525
AARTIIND,Aarti Industries Ltd.,Chemicals,niftymidsmallcap400
AARTIIND,Aarti Industries Ltd.,Chemicals,niftysmallcap100
AARTIIND,Aarti Industries Ltd.,Chemicals,niftysmallcap250
AARTIIND,Aarti Industries Ltd.,Chemicals,niftysmallcap50
AARTIIND,Aarti Industries Ltd.,Chemicals,niftytotalmarket
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,niftymicrocap250
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,niftytotalmarket
AAVAS,Aavas Financiers Ltd.,Financial Services,nifty500LargeMidSmallEqualCapWeighted
AAVAS,Aavas Financiers Ltd.,Financial Services,nifty500
AAVAS,Aavas Financiers Ltd.,Financial Services,nifty500Multicap502525
AAVAS,Aavas Financiers Ltd.,Financial Services,niftymidsmallcap400
AAVAS,Aavas Financiers Ltd.,Financial Services,niftysmallcap250
AAVAS,Aavas Financiers Ltd.,Financial Services,niftytotalmarket
ABB,ABB India Ltd.,Capital Goods,nifty100
ABB,ABB India Ltd.,Capital Goods,nifty200
ABB,ABB India Ltd.,Capital Goods,nifty500LargeMidSmallEqualCapWeighted
ABB,ABB India Ltd.,Capital Goods,nifty500
ABB,ABB India Ltd.,Capital Goods,nifty500Multicap502525
